ds,y
2021-01-01,4505
2021-01-02,4559
2021-01-03,4461
2021-01-04,4423
2021-01-05,4427
2021-01-06,4453
2021-01-07,4505
2021-01-08,4582
2021-01-09,4664
2021-01-10,4729
2021-01-11,3412
2021-01-12,3097
2021-01-13,2926
2021-01-14,2886
2021-01-15,2905
2021-01-16,2986
2021-01-17,3081
2021-01-18,3108
2021-01-19,3088
2021-01-20,3137
2021-01-21,3205
2021-01-22,3261
2021-01-23,3372
2021-01-24,3521
2021-01-25,3542
2021-01-26,3492
2021-01-27,3456
2021-01-28,3456
2021-01-29,3490
2021-01-30,3526
2021-01-31,3503
2021-02-01,3466
2021-02-02,3421
2021-02-03,3358
2021-02-04,3340
2021-02-05,3353
2021-02-06,3309
2021-02-07,3256
2021-02-08,1622
2021-02-09,1597
2021-02-10,1573
2021-02-11,1582
2021-02-12,1582
2021-02-13,1628
2021-02-14,1618
2021-02-15,1689
2021-02-16,1624
2021-02-17,1554
2021-02-18,1151
2021-02-19,1169
2021-02-20,1207
2021-02-21,1180
2021-02-22,1211
2021-02-23,1206
2021-02-24,1193
2021-02-25,1206
2021-02-26,1195
2021-02-27,1208
2021-02-28,1194
2021-03-01,1171
2021-03-02,1151
2021-03-03,1146
2021-03-04,1144
2021-03-05,1129
2021-03-06,1114
2021-03-07,1132
2021-03-08,1142
2021-03-09,1147
2021-03-10,1182
2021-03-11,1204
2021-03-12,870
2021-03-13,909
2021-03-14,891
2021-03-15,907
2021-03-16,986
2021-03-17,1033
2021-03-18,1089
2021-03-19,1125
2021-03-20,1155
2021-03-21,1184
2021-03-22,1200
2021-03-23,1247
2021-03-24,1256
2021-03-25,1107
2021-03-26,1169
2021-03-27,1190
2021-03-28,1179
2021-03-29,1177
2021-03-30,1196
2021-03-31,1174
2021-04-01,1176
2021-04-02,1267
2021-04-03,1252
2021-04-04,1266
2021-04-05,1280
2021-04-06,1253
2021-04-07,1292
2021-04-08,1063
2021-04-09,1180
2021-04-10,1256
2021-04-11,1312
2021-04-12,1367
2021-04-13,1432
2021-04-14,1435
2021-04-15,1528
2021-04-16,1545
2021-04-17,1627
2021-04-18,1688
2021-04-19,1677
2021-04-20,1781
2021-04-21,1830
2021-04-22,1680
2021-04-23,1733
2021-04-24,1891
2021-04-25,2024
2021-04-26,2092
2021-04-27,2170
2021-04-28,2204
2021-04-29,2258
2021-04-30,2368
2021-05-01,2466
2021-05-02,2539
2021-05-03,2592
2021-05-04,2691
2021-05-05,2774
2021-05-06,2728
2021-05-07,2986
2021-05-08,3234
2021-05-09,3495
2021-05-10,3770
2021-05-11,3837
2021-05-12,3938
2021-05-13,4044
2021-05-14,4161
2021-05-15,4217
2021-05-16,4440
2021-05-17,4567
2021-05-18,4542
2021-05-19,4549
2021-05-20,4653
2021-05-21,4855
2021-05-22,4984
2021-05-23,5070
2021-05-24,5061
2021-05-25,4944
2021-05-26,4791
2021-05-27,4636
2021-05-28,4674
2021-05-29,4634
2021-05-30,4566
2021-05-31,4498
2021-06-01,4330
2021-06-02,4262
2021-06-03,4176
2021-06-04,4185
2021-06-05,4113
2021-06-06,4068
2021-06-07,3959
2021-06-08,3836
2021-06-09,3782
2021-06-10,3599
2021-06-11,3487
2021-06-12,3438
2021-06-13,3305
2021-06-14,3110
2021-06-15,2971
2021-06-16,2793
2021-06-17,2526
2021-06-18,2425
2021-06-19,2307
2021-06-20,2166
2021-06-21,2068
2021-06-22,1859
2021-06-23,1787
2021-06-24,1714
2021-06-25,1631
2021-06-26,1513
2021-06-27,1480
2021-06-28,1454
2021-06-29,1408
2021-06-30,1396
2021-07-01,1481
2021-07-02,1053
2021-07-03,1008
2021-07-04,1018
2021-07-05,1020
2021-07-06,971
2021-07-07,985
