ds,y
2020-07-01,18
2020-07-02,18
2020-07-03,16
2020-07-04,16
2020-07-05,16
2020-07-06,14
2020-07-07,11
2020-07-08,6
2020-07-09,4
2020-07-10,4
2020-07-11,4
2020-07-12,4
2020-07-13,1
2020-07-14,5
2020-07-15,5
2020-07-16,6
2020-07-17,11
2020-07-18,12
2020-07-19,18
2020-07-20,29
2020-07-21,41
2020-07-22,49
2020-07-23,49
2020-07-24,58
2020-07-25,62
2020-07-26,68
2020-07-27,74
2020-07-28,78
2020-07-29,74
2020-07-30,76
2020-07-31,70
2020-08-01,72
2020-08-02,90
2020-08-03,97
2020-08-04,94
2020-08-05,94
2020-08-06,118
2020-08-07,132
2020-08-08,148
2020-08-09,182
2020-08-10,196
2020-08-11,194
2020-08-12,202
2020-08-13,218
2020-08-14,246
2020-08-15,211
2020-08-16,205
2020-08-17,232
2020-08-18,235
2020-08-19,223
2020-08-20,247
2020-08-21,265
2020-08-22,290
2020-08-23,356
2020-08-24,395
2020-08-25,399
2020-08-26,408
2020-08-27,407
2020-08-28,418
2020-08-29,444
2020-08-30,462
2020-08-31,469
2020-09-01,459
2020-09-02,454
2020-09-03,457
2020-09-04,422
2020-09-05,426
2020-09-06,409
2020-09-07,412
2020-09-08,393
2020-09-09,404
2020-09-10,360
2020-09-11,287
2020-09-12,238
2020-09-13,239
2020-09-14,257
2020-09-15,269
2020-09-16,283
2020-09-17,293
2020-09-18,325
2020-09-19,331
2020-09-20,354
2020-09-21,363
2020-09-22,380
2020-09-23,418
2020-09-24,449
2020-09-25,487
2020-09-26,545
2020-09-27,589
2020-09-28,618
2020-09-29,606
2020-09-30,599
2020-10-01,621
2020-10-01,621
2020-10-02,652
2020-10-02,652
2020-10-03,677
2020-10-03,677
2020-10-04,696
2020-10-04,696
2020-10-05,739
2020-10-05,739
2020-10-06,781
2020-10-06,781
2020-10-07,803
2020-10-07,803
2020-10-08,863
2020-10-08,863
2020-10-09,933
2020-10-09,933
2020-10-10,1017
2020-10-10,1017
2020-10-11,1063
2020-10-11,1063
2020-10-12,1131
2020-10-12,1131
2020-10-13,1248
2020-10-13,1248
2020-10-14,1374
2020-10-14,1374
2020-10-15,1527
2020-10-15,1527
2020-10-16,1582
2020-10-16,1582
2020-10-17,1648
2020-10-17,1648
2020-10-18,1675
2020-10-18,1675
2020-10-19,1743
2020-10-19,1743
2020-10-20,1746
2020-10-20,1746
2020-10-21,1774
2020-10-21,1774
2020-10-22,1806
2020-10-22,1806
2020-10-23,1855
2020-10-23,1855
2020-10-24,1922
2020-10-24,1922
2020-10-25,2053
2020-10-25,2053
2020-10-26,2117
2020-10-26,2117
2020-10-27,2238
2020-10-27,2238
2020-10-28,2334
2020-10-28,2334
2020-10-29,2409
2020-10-29,2409
2020-10-30,2737
2020-10-30,2737
2020-10-31,3010
2020-10-31,3010
2020-11-01,3255
2020-11-01,3255
2020-11-02,3455
2020-11-02,3455
2020-11-03,3495
2020-11-03,3495
2020-11-04,3772
2020-11-04,3772
2020-11-05,4166
2020-11-05,4166
2020-11-06,4286
2020-11-06,4286
2020-11-07,4460
2020-11-07,4460
2020-11-08,4849
2020-11-08,4849
2020-11-09,5152
2020-11-09,5152
2020-11-10,5390
2020-11-10,5390
2020-11-11,5676
2020-11-11,5676
2020-11-12,6030
2020-11-12,6030
2020-11-13,6307
2020-11-13,6307
2020-11-14,6410
2020-11-14,6410
2020-11-15,6715
2020-11-15,6715
2020-11-16,7011
2020-11-16,7011
2020-11-17,7105
2020-11-17,7105
2020-11-18,7385
2020-11-18,7385
2020-11-19,7629
2020-11-19,7629
2020-11-20,7861
2020-11-20,7861
2020-11-21,8012
2020-11-21,8012
2020-11-22,8122
2020-11-22,8122
2020-11-23,8498
2020-11-23,8498
2020-11-24,8677
2020-11-24,8677
2020-11-25,8758
2020-11-25,8758
2020-11-26,8845
2020-11-26,8845
2020-11-27,8865
2020-11-27,8865
2020-11-28,9024
2020-11-28,9024
2020-11-29,9172
2020-11-29,9172
2020-11-30,9260
2020-11-30,9260
2020-12-01,9066
2020-12-01,9066
2020-12-02,8970
2020-12-02,8970
2020-12-03,9130
2020-12-03,9130
2020-12-04,9172
2020-12-04,9172
2020-12-05,9115
2020-12-05,9115
2020-12-06,9216
2020-12-06,9216
2020-12-07,5462
2020-12-07,5462
2020-12-08,5379
2020-12-08,5379
2020-12-09,5348
2020-12-09,5348
2020-12-10,5380
2020-12-10,5380
2020-12-11,5517
2020-12-11,5517
2020-12-12,5630
2020-12-12,5630
2020-12-13,5728
2020-12-13,5728
2020-12-14,5791
2020-12-14,5791
2020-12-15,5762
2020-12-15,5762
2020-12-16,5797
2020-12-16,5797
2020-12-17,5829
2020-12-17,5829
2020-12-18,5602
2020-12-18,5602
2020-12-19,5668
2020-12-19,5668
2020-12-20,5749
2020-12-20,5749
2020-12-21,5736
2020-12-21,5736
2020-12-22,4382
2020-12-22,4382
2020-12-23,4427
2020-12-23,4427
2020-12-24,4489
2020-12-24,4489
2020-12-25,4489
2020-12-25,4489
2020-12-26,4489
2020-12-26,4489
2020-12-27,4488
2020-12-27,4488
2020-12-28,4442
2020-12-28,4442
2020-12-29,4424
2020-12-29,4424
2020-12-30,4444
2020-12-30,4444
2020-12-31,4505
2020-12-31,4505
