ds,y
2020-05-01,38
2020-05-02,38
2020-05-03,38
2020-05-04,37
2020-05-05,37
2020-05-06,34
2020-05-07,33
2020-05-08,30
2020-05-09,30
2020-05-10,33
2020-05-11,35
2020-05-12,31
2020-05-13,31
2020-05-14,30
2020-05-15,28
2020-05-16,25
2020-05-17,25
2020-05-18,26
2020-05-19,26
2020-05-20,26
2020-05-21,18
2020-05-22,18
2020-05-23,17
2020-05-24,17
2020-05-25,17
2020-05-26,16
2020-05-27,14
2020-05-28,14
2020-05-29,14
2020-05-30,9
2020-05-31,10
2020-06-01,10
2020-06-02,12
2020-06-03,9
2020-06-04,7
2020-06-05,9
2020-06-06,9
2020-06-07,9
2020-06-08,9
2020-06-09,8
2020-06-10,8
2020-06-11,7
2020-06-12,5
2020-06-13,7
2020-06-14,8
2020-06-15,5
2020-06-16,5
2020-06-17,6
2020-06-18,8
2020-06-19,11
2020-06-20,13
2020-06-21,13
2020-06-22,14
2020-06-23,14
2020-06-24,15
2020-06-25,15
2020-06-26,11
2020-06-27,15
2020-06-28,15
2020-06-29,17
2020-06-30,18
2020-07-01,18
2020-07-02,18
2020-07-03,16
2020-07-04,16
2020-07-05,16
2020-07-06,14
2020-07-07,11
2020-07-08,6
2020-07-09,4
2020-07-10,4
2020-07-11,4
2020-07-12,4
2020-07-13,1
2020-07-14,5
2020-07-15,5
2020-07-16,6
2020-07-17,11
2020-07-18,12
2020-07-19,18
2020-07-20,29
2020-07-21,41
2020-07-22,49
2020-07-23,49
2020-07-24,58
2020-07-25,62
2020-07-26,68
2020-07-27,74
2020-07-28,78
2020-07-29,74
2020-07-30,76
2020-07-31,70
2020-08-01,72
2020-08-02,90
2020-08-03,97
2020-08-04,94
2020-08-05,94
2020-08-06,118
2020-08-07,132
2020-08-08,148
2020-08-09,182
2020-08-10,196
2020-08-11,194
2020-08-12,202
2020-08-13,218
2020-08-14,246
2020-08-15,211
2020-08-16,205
2020-08-17,232
2020-08-18,235
2020-08-19,223
2020-08-20,247
2020-08-21,265
2020-08-22,290
2020-08-23,356
2020-08-24,395
2020-08-25,399
2020-08-26,408
2020-08-27,407
2020-08-28,418
2020-08-29,444
2020-08-30,462
2020-08-31,469
2020-09-01,459
2020-09-02,454
2020-09-03,457
2020-09-04,422
2020-09-05,426
2020-09-06,409
2020-09-07,412
2020-09-08,393
2020-09-09,404
2020-09-10,360
2020-09-11,287
2020-09-12,238
2020-09-13,239
2020-09-14,257
2020-09-15,269
2020-09-16,283
2020-09-17,293
2020-09-18,325
2020-09-19,331
2020-09-20,354
2020-09-21,363
2020-09-22,380
2020-09-23,418
2020-09-24,449
2020-09-25,487
2020-09-26,545
2020-09-27,589
2020-09-28,618
2020-09-29,606
2020-09-30,599
2020-10-01,621
2020-10-02,652
2020-10-03,677
2020-10-04,696
2020-10-05,739
2020-10-06,781
2020-10-07,803
2020-10-08,863
2020-10-09,933
2020-10-10,1017
2020-10-11,1063
2020-10-12,1131
2020-10-13,1248
2020-10-14,1374
2020-10-15,1527
2020-10-16,1582
2020-10-17,1648
2020-10-18,1675
2020-10-19,1743
2020-10-20,1746
2020-10-21,1774
2020-10-22,1806
2020-10-23,1855
2020-10-24,1922
2020-10-25,2053
2020-10-26,2117
2020-10-27,2238
2020-10-28,2334
2020-10-29,2409
2020-10-30,2737
2020-10-31,3010
2020-11-01,3255
2020-11-02,3455
2020-11-03,3495
2020-11-04,3772
2020-11-05,4166
2020-11-06,4286
2020-11-07,4460
